FECHA        Humedad  Temperatura
01/08/1962   34.2   25.8 
02/08/1962   33.8   24.6 
03/08/1962   34.2   23.7 
04/08/1962   34.8   24 
05/08/1962   34.8   23.4 
06/08/1962   33.3   22.7 
07/08/1962   34.2   23.4 
08/08/1962   33     24.2 
09/08/1962   33.1   25.2 
10/08/1962   32.7   23.4 
11/08/1962   33.2   23.4 
12/08/1962   34     23.6 
13/08/1962   31.7   23.2 
14/08/1962   32     24.7 
15/08/1962   32.2   24.8 
16/08/1962   32.2   25.3 
17/08/1962   32.5   23.5 
18/08/1962   33.2   23.7 
19/08/1962   34     23.7 
20/08/1962   29.5   23.5 
21/08/1962   33     23.2 
22/08/1962   33.6   23.2 
23/08/1962   32.5   23.8 
24/08/1962   33     24.4 
25/08/1962   32.9   23.8 
26/08/1962   32.2   23.7 
27/08/1962   33     24.6 
28/08/1962   34     24.6 
